14:31:59:851|10524 |FAILURE             |database_*le_util.py|tbl_query                                         |      |                              |                              |                    |[('msg', 'unable to execute query [select st.sStudentFirstNm, st.sStudentLastNm, st.idStudent, stl.idPrep, pc.sPrepNm from Student st, StudentLevel stl, PrepCode pc where st.idStudent = 70 and st.cdRowStatus = "act" and st.idStudent = stl.idStudent and stl.cdRowStatus = "act" and stl.idAcadPeriod = 1 and stl.idPrep = pc.idPrep and pc.cdRowStatus = "act" ] in db [C:\\Users\\burtnolej\\Documents\\GitHub\\quadviewer\\app\\quad\\utils\\test_misc\\QuadQA.db.sqlite] [no such table: Student]')]|249  
09:39:53:815|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:40:57:703|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:40:57:751|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:42:53:842|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:42:53:891|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:43:52:431|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:43:52:481|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:43:52:534|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [table Student has no column named dummy]|300418  
09:45:54:189|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:46:31:362|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:46:33:338|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [table Student has no column named dummy]|300418  
09:47:24:801|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:48:01:554|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:48:01:653|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [table Student has no column named dummy]|300418  
09:48:37:555|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:48:37:661|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:50:02:528|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:50:02:578|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:50:02:627|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [14 values for 13 columns]|300418  
09:50:17:547|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:50:31:711|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:50:31:806|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [14 values for 13 columns]|300418  
09:50:46:413|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:50:46:523|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:51:30:11 |FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [14 values for 13 columns]|300418  
09:52:17:619|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:52:17:668|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:52:17:727|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:56:23:341|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:56:32:213|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:56:34:39 |SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:56:34:85 |SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:56:34:144|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
11:05:31:105|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
11:05:35:865|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [table StudentLevel has no column named sStudentFirstNm]|300418  
